length,timestamp,source_ip,destination_ip,protocol
78,1743680210.822734,192.168.0.102,151.101.65.140,6
105,1743680210.822743,192.168.0.102,142.250.203.206,6
66,1743680210.822766,192.168.0.102,17.248.213.65,6
87,1743680210.822884,192.168.0.102,8.8.4.4,17
1450,1743680210.823206,192.168.0.102,151.101.1.140,6
1450,1743680210.823207,192.168.0.102,151.101.1.140,6
461,1743680210.823211,192.168.0.102,151.101.1.140,6
1450,1743680210.823236,192.168.0.102,151.101.1.140,6
1450,1743680210.823236,192.168.0.102,151.101.1.140,6
457,1743680210.823238,192.168.0.102,151.101.1.140,6
1450,1743680210.823259,192.168.0.102,151.101.1.140,6
1292,1743680210.824475,192.168.0.102,35.244.174.68,17
1292,1743680210.824496,192.168.0.102,35.244.174.68,17
1446,1743680210.825134,151.101.65.140,192.168.0.102,6
1446,1743680210.825136,151.101.65.140,192.168.0.102,6
1446,1743680210.825138,151.101.65.140,192.168.0.102,6
1446,1743680210.82514,151.101.65.140,192.168.0.102,6
1446,1743680210.825142,151.101.65.140,192.168.0.102,6
1446,1743680210.825144,151.101.65.140,192.168.0.102,6
1446,1743680210.825146,151.101.65.140,192.168.0.102,6
1446,1743680210.825147,151.101.65.140,192.168.0.102,6
1446,1743680210.825148,151.101.65.140,192.168.0.102,6
1446,1743680210.82515,151.101.65.140,192.168.0.102,6
1446,1743680210.825151,151.101.65.140,192.168.0.102,6
1446,1743680210.825153,151.101.65.140,192.168.0.102,6
1446,1743680210.825154,151.101.65.140,192.168.0.102,6
1446,1743680210.825155,151.101.65.140,192.168.0.102,6
1446,1743680210.825156,151.101.65.140,192.168.0.102,6
1446,1743680210.825157,151.101.65.140,192.168.0.102,6
1446,1743680210.825158,151.101.65.140,192.168.0.102,6
78,1743680210.825292,192.168.0.102,151.101.65.140,6
78,1743680210.825321,192.168.0.102,151.101.65.140,6
78,1743680210.825407,192.168.0.102,151.101.129.140,6
78,1743680210.825562,192.168.0.102,151.101.65.140,6
78,1743680210.825615,192.168.0.102,151.101.65.140,6
78,1743680210.825668,192.168.0.102,216.58.209.14,6
78,1743680210.825748,192.168.0.102,142.250.186.195,6
78,1743680210.825797,192.168.0.102,74.125.205.157,6
